0 ['gefängnis', 'zelle', 'verhaften', 'bautzen', 'verurteilen', 'tag', 'russe', 'entlassen', 'cottbus', 'einsperren', 'russisch', 'iphe', 'spät', 'offizier', 'verhören', 'gefangener', 'verhaftung', 'deutsch', 'politisch', 'waldheim', 'unterschreiben', 'werwolf', 'westen', 'haft', 'sowjetisch', 'stasi', 'ddr', 'intavp', 'keller', 'verhör', 'vernehmung', 'zuchthaus', 'wussen', 'entlassung', 'erfahren', 'lager', '25', 'ehemalig', 'zeit', 'woche', 'sogenannter', 'zellen', 'berlin', 'polizei', 'halle', 'drüben', 'westberlin', 'saal', 'protokoll', 'dolmetscherin']
20 ['haus', 'bauen', 'wohnen', 'straße', 'stadt', 'garten', 'schön', 'grundstück', 'gebäude', 'wohnung', 'kennen', 'gehören', 'gewohnen', 'platz', 'hof', 'verkaufen', 'nachbar', 'siedlung', 'dorf', 'abreißen', 'häuschen', 'kaufen', 'nähe', 'ecke', 'land', 'park', 'auto', 'bau', 'gegend', 'wunderschön', 'gelände', 'familie', 'schloss', 'architekt', 'richtig', 'spät', 'dach', 'fenster', 'unterbringen', 'ort', 'umbauen', 'villa', 'rathaus', 'sohn', 'grün', 'einziehen', 'nachbarschaft', 'wunderbar', 'aufbauen', 'garage']

21 ['kind', 'eltern', 'kindergarten', 'schule', 'schön', 'wende', 'gruppe', 'krippe', 'pionier', 'zeit', 'einrichtung', 'dresden', 'ddr', 'lernen', 'ddrzeit', 'erzieher', 'kindheit', 'erzieherin', 'erziehung', 'gerne', '', 'erinnern', 'arbeit', 'ausbildung', 'mutti', 'leiterin', 'hort', 'klasse', 'familie', 'betreuen', 'erleben', 'erziehen', 'prägen', 'mütter', 'gebären', 'kindergarte', 'lehrer', 'kinderkrippe', 'kindergärtnerin', 'freiheit', 'spaß', 'beruf', 'wendezeit', 'oma', 'ferienlager', 'erinnerung', 'anfang', 'spiel', 'kindergärt', 'tag']

22 ['zug', 'bahnhof', 'tag', 'waggon', 'wagen', 'essen', 'unterwegs', 'ankommen', 'stadt', 'richtung', 'fuß', 'warten', 'koffer', 'frankfurt', 'bahn', 'fahrt', 'station', 'wussten', 'kilometer', 'grenze', 'spät', 'mensch', 'ort', 'straßenbahn', 'mussen', 'berlin', 'woche', 'abholen', 'eisenbahn', 'soldat', 'transport', 'stunde', 'straße', 'gepäck', 'auto', 'lager', 'transportieren', 'deutschland', 'aussteigen', 'einsteigen', 'offen', 'lkw', 'nachts', 'strecke', 'wussen', 'zeit', 'brücke', 'packen', 'fenster', 'verladen']

23 ['zeitung', 'herr', 'dortmund', 'verlag', 'westfalenpost', 'hagen', 'artikel', 'redaktion', 'sträter', 'redakteur', 'chefredakteur', 'soest', 'journalist', 'lizenz', 'westfälisch', 'druckerei', 'drucken', 'doktor', 'butz', 'spät', 'zeitschrift', 'hanke', 'handelsblatt', 'papier', 'lensing', 'rundschau', 'verleger', 'presse', 'ausgabe', 'gehören', 'nachricht', 'westdruck', 'kammer', 'kennen', 'dr', 'büchler', 'vogel', 'druck', 'ordner', 'richtig', 'anzeige', 'siegen', 'blatt', 'schmelzer', 'lachend', 'verband', 'kurier', 'herrn', 'lippstadt', 'mitarbeiter']

24 ['zeit', 'kontakt', 'familie', 'mensch', 'kennen', 'verhältnis', 'schön', 'gerne', 'beziehung', 'freund', 'kind', 'problem', 'arbeit', 'helfen', 'schwer', 'treffen', 'eltern', 'spät', 'frage', 'versuchen', 'beruf', 'schlecht', 'merken', 'erleben', 'anfang', 'eng', 'möglichkeit', 'richtig', 'fühlen', 'lernen', 'gewiß', 'gehören', 'normal', 'schwierigkeit', 'empfinden', 'erfahrung', 'kollege', 'gefühl', 'besuchen', 'gemeinsam', 'freundschaft', 'ändern', 'verbindung', 'art', 'beruflich', 'grund', 'kümmern', 'fallen', 'nachbar', 'alter']

25 ['buch', 'bücher', 'geschichte', 'deutsch', 'literatur', 'berlin', 'münchen', 'bibliothek', 'schriftsteller', 'republik', 'interessant', 'jahrhundert', 'roman', 'weltkrieg', 'preußisch', 'weimarer', 'zeitschrift', 'büchern', 'interessiert', 'reich', 'goethe', 'zweiter', 'preuß', 'graf', 'berühmt', 'weimar', 'professor', 'buchhandlung', 'karl', 'kaiser', 'geistig', 'welt', 'krieg', 'unglaublich', 'verlag', 'freiburg', 'dritter', 'wilhelm', 'übersetzen', 'revolution', 'menge', 'unwahrscheinlich', 'schenken', 'faust', 'bücherei', 'hintergrund', 'beamter', 'zeitung', 'land', 'modern']

26 ['trinken', 'gruppe', 'alkohol', 'synanon', 'therapie', 'trocken', 'droge', 'nüchtern', 'alkoholiker', 'abstinenz', 'merken', 'problem', 'süchtig', 'freund', 'richtig', 'lernen', 'jüdisch', 'abhängig', 'ziel', 'abstinent', 'verändern', 'zeit', 'situation', 'passieren', 'gefühl', 'reden', 'woche', 'krankenhaus', 'phase', 'ändern', 'zufrieden', 'saufen', 'angst', 'rauchen', 'sinn', 'partnerschaft', 'schaffen', 'rückfall', 'schritt', 'anfang', 'normal', 'ansprechen', 'akzeptieren', 'trockenheit', 'rückfällig', 'erfahrung', 'toi', 'beruflich', 'körperlich', 'tag']

27 ['deutsch', 'polen', 'polnisch', 'russisch', 'russe', 'deutschland', 'pole', 'deutsche', 'sprache', 'russland', 'lernen', 'lager', 'stadt', 'tscheche', 'ausländer', 'ukraine', 'tschechisch', 'mensch', 'wohnen', 'franzose', 'land', 'familie', 'krieg', 'grenze', 'kennen', 'ukrainisch', 'reden', 'behandeln', 'zeit', 'ukrainer', 'armee', 'arbeiter', 'gebiet', 'kriegsgefangen', 'sowjetunion', 'polin', 'unterhalten', 'verschieden', 'sowjetisch', 'kontakt', 'schlecht', 'mhmh', 'bevölkerung', 'warschau', 'gehören', 'russin', 'übersetzen', 'arbeit', 'österreich', 'erinnern']

28 ['ungarn', 'jude', 'ungarisch', 'budapest', 'jüdisch', 'rumänien', 'rumänisch', 'erinnern', 'bukarest', 'wien', 'stadt', 'israel', 'schicken', 'zwangsarbeit', 'jugoslawien', 'familie', 'arbeit', 'österreich', 'nennen', 'leisten', 'gehören', 'freund', 'kaschau', 'zurückkehren', 'bulgarien', 'fräulein', 'soldat', 'krieg', 'fliehen', 'dorf', 'galai', 'straße', 'wussen', 'herr', 'bulgarisch', 'rumän', 'bruder', 'zeit', 'belgrad', 'nndi', 'gendarm', 'ort', 'befinden', 'passieren', 'deportation', 'sofia', 'interessant', 'sarajevo', 'armee', 'tag']

29 ['krieg', 'deutschland', 'hitler', 'deutsch', 'russland', 'land', 'mensch', 'sowjetunion', 'russe', 'stalin', 'volk', 'deutsche', 'hören', 'gehören', 'staat', 'weltkrieg', 'wussten', 'zeitung', 'welt', 'polen', 'politik', 'amerika', 'gewinnen', 'reden', 'radio', 'kommunist', 'nazi', 'frieden', 'kämpfen', 'soldat', 'jude', 'wussen', 'sieg', 'erfahren', 'frankreich', 'england', 'europa', 'verlieren', 'erleben', 'regierung', 'kommunismus', 'feind', 'meinung', 'zweiter', 'stalingrad', 'amerikaner', 'armee', 'front', 'nachricht', 'sowjetisch']

30 ['gericht', 'akte', 'prozess', 'herr', 'richter', 'antrag', 'urteil', 'gesetz', 'anwalt', 'rechtsanwalt', 'verurteilen', 'verfahren', 'beantragen', 'staatsanwalt', 'unterlage', 'grund', 'politisch', 'stasi', 'ministerium', 'ablehnen', 'berlin', 'zeuge', 'ehemalig', 'entschädigung', 'verhandlung', 'bescheinigung', 'unterschreiben', 'anerkennen', 'deutsch', 'einreichen', 'behörde', 'justiz', 'aussage', 'erklären', 'schriftlich', 'begründung', 'paragraph', 'aussagen', 'strafe', 'prozesse', 'zweiter', 'bestätigen', 'dokument', 'führen', 'blättern', 'artikel', 'landgericht', 'stimmen', 'ddr', 'jurist']

31 ['rauchen', 'zigarett', 'zigarette', 'tabak', 'walter', 'straße', 'hamburger', 'rot', 'erich', 'fritz', 'hamburg', 'kj', 'helmut', 'nennen', 'barmbek', 'zigaretten', 'marine', 'erwin', 'käthe', 'saj', 'gruppe', 'eppendorf', 'kommunistisch', 'raucher', 'treffen', 'nett', 'jugendherberge', 'wilhelm', 'barmbeker', 'schachtel', 'machorka', 'heinrich', 'faschismus', 'zigarren', 'boot', 'brake', 'stange', 'proletarier', 'offenbacher', 'verbieten', 'freund', 'kapitel', 'aba', 'drehen', 'pfennig', 'lokal', 'fechten', 'willi', 'mosel', 'packung']

