0 ['winter', 'kalt', 'schnee', 'sommer', 'holz', 'warm', 'ofen', 'heizen', 'herbst', 'kälte', 'wasser', 'arbeit', 'tag', 'schwer', 'regen', 'eis', 'frühjahr', 'wetter', 'regnen', 'mussen', 'feuer', 'füße', 'kohle', 'frost', 'gefroren', 'fuß', 'schlitt', 'zeit', 'wind', 'fallen', 'frühling', 'heiß', 'kleidung', 'kilometer', 'frieren', 'nass', 'wald', 'anziehen', 'hart', 'erfrieren', 'schuh', 'heizung', 'berg', 'sonne', 'zelt', 'decken', 'öfen', 'nachts', 'sammeln', 'bein']
30 ['frage', 'zeit', 'problem', 'richtig', 'versuchen', 'möglichkeit', 'gewiß', 'rolle', 'bereich', 'entwickeln', 'entwicklung', 'art', 'mensch', 'sinn', 'anfang', 'letzter', 'führen', 'grunde', 'unterschiedlich', 'verschieden', 'weise', 'richtung', 'relativ', 'grund', 'politisch', 'situation', 'ändern', 'form', 'geschichte', 'verhältnis', 'erfahrung', 'wesentlich', 'verändern', 'schaffen', 'aufgabe', 'meinung', 'vorstellung', 'interessant', 'entstehen', 'gemeinsam', 'entscheiden', 'sozial', 'merken', 'erreichen', 'entscheidung', 'unterschied', 'stelle', 'lernen', 'gehören', 'überlegen']

31 ['dorf', 'stadt', 'ort', 'bürgermeister', 'heimat', 'dörfer', 'gemeinde', 'einwohner', 'fürstenberg', 'land', 'kilometer', 'bauer', 'kennen', 'schön', 'kreis', 'gegend', 'wohnen', 'bauen', 'gehören', 'eisenhüttenstadt', 'berlin', 'stalinstadt', 'zweiter', 'gube', 'nähe', 'neuzelle', 'sogenannter', 'thüringen', 'flüchtling', 'kreisstadt', 'neustadt', 'fürstenwalde', 'litauen', 'richtung', 'städten', 'ortschaft', 'landwirtschaft', 'frankfurt', 'stimmen', 'eko', 'kleinstadt', 'gebiet', 'schmied', 'dörfern', 'platt', 'ländlich', 'schlesien', 'einheimisch', 'bezirk', 'fremd']

32 ['münster', 'frauenstraße', 'haus', 'politisch', '24', 'kneipe', 'wohnen', 'aktion', 'student', 'auseinandersetzung', 'asta', 'besetzung', 'etage', 'stadt', 'kontakt', 'gerd', 'erinnern', 'makler', 'flugblätter', 'besetzen', 'idee', 'frauenstr', 'polizei', 'unterstützen', 'veranstaltung', 'wg', 'uni', 'leg', 'hans', 'zeit', 'stürmer', 'iphs', 'plakat', 'stattfinden', 'dkp', 'gruppe', 'geschichte', 'münsteraner', 'linker', 'wohngemeinschaft', 'grunde', 'mitmachen', 'rolle', 'entstehen', 'heiß', 'wohnungsnot', 'organisieren', 'mitbekommen', 'hausbesetzung', 'verteilen']

33 ['brechen', 'stocken', 'lachen', 'herr', 'naturschutz', 'kennen', 'natur', 'jäger', 'jagd', 'lüdenscheid', 'lienenkämper', 'vögel', 'tier', 'gebiet', 'leverkusen', 'bd', 'solingen', 'sgv', 'gehören', 'kreis', 'husten', 'jagen', 'blättern', 'bayer', 'zeit', 'förster', 'naturschutzgebiet', 'westfälisch', 'unna', 'grün', 'unterlage', 'schießen', 'bergisch', 'bielefeld', 'kötter', 'soest', 'arnsberg', 'wandern', 'vogel', 'schmidt', 'umweltschutz', 'räusperen', 'hase', 'raum', 'herrn', 'minden', 'landschaft', 'betreiben', 'leise', 'einladen']

34 ['fdj', 'pionier', 'jugend', 'mitmachen', 'jugendweihe', 'politisch', 'schule', 'ddr', 'freundschaft', 'organisation', 'problem', 'deutsch', 'jugendlich', 'veranstaltung', 'halstuch', 'blau', 'jugendliche', 'tag', 'klasse', 'organisieren', 'jugendgruppe', 'fdjler', 'teilnehmen', 'gesellschaftlich', 'thälmann', 'menen', 'sozialistisch', 'zentralrat', 'heinz', 'eisenhüttenstadt', 'blauhemd', 'sammeln', 'bereit', 'falke', 'hemd', 'mitglied', 'deutschsowjetisch', 'rot', 'wandzeitung', 'ernst', 'fahne', 'ferienlager', 'jugendorganisation', 'auftreten', 'stolz', 'strecke', 'beteiligen', 'armee', 'komisch', 'republik']

