0 ['mutter', 'kind', 'oma', 'vater', 'erinnern', 'eltern', 'opa', 'haus', 'kindheit', 'erinnerung', 'schwester', 'familie', 'großeltern', 'großmutter', 'zeit', 'wohnen', 'bruder', 'schule', 'spät', 'großelter', 'richtig', 'schön', 'geschwister', 'dorf', 'zuhause', 'gebären', 'krieg', 'sterben', 'garten', 'tante', 'großvater', 'onkel', 'hof', 'gewohnen', 'puppe', 'straße', 'alter', 'gerne', 'verbringen', 'erwachsen', 'tant', 'prägen', 'papa', 'schlimm', 'mama', 'spielzeug', 'zimmer', 'elf', 'freundin', 'feri']
22 ['firma', 'schulte', 'jürgen', 'gleis', 'hinselmann', 'dr', 'bauunion', 'wolf', 'eberhard', 'hauhinco', 'patent', 'bremsen', 'format', 'schröder', 'ehrenbürg', 'schiene', 'mitarbeiter', 'sodass', 'mundorgel', 'grass', 'jochums', 'organisator', 'company', 'zweitgrößter', 'günther', 'marsch', 'größeres', 'einhalten', 'mannheim', 'gründen', 'ausprobieren', 'festschrift', 'betonwerk', 'bristol', 'nigeria', 'ausbau', 'mali', 'chef', 'urlauber', 'booz', 'generationswechsel', 'platte', 'brown', 'aneigneen', 'hemar', 'schweizer', 'pipeline', 'maurerei', 'hamilton', 'tübingen']

23 ['kiel', 'eberswalde', 'relativ', 'unterwegs', 'amtsdirektor', 'kannt', 'telekom', 'michael', 'optiker', 'zuschnitt', 'wirtschaft', 'kranbau', 'franke', 'wernigerode', 'friedel', 'schermbeck', 'mandarin', 'instandgesetzt', 'wand', 'uhu', 'äthiopien', 'baumschule', 'antonio', 'weltweit', 'durchschläge', 'tausendzweihundert', 'stolzeschrey', 'volksküche', 'au', 'forsthaus', 'mayatzwik', 'berufssoldat', 'weltbild', 'kalatsch', 'laufbahn', 'klausch', 'escher', 'nachgeforscht', 'heikel', 'schnucki', 'sozialdemokratisch', 'altersheim', 'sturz', 'entsandt', 'forschung', 'martei', '170', 'rox', 'satzstellung', 'buchgemeinschaft']

24 ['bitterfeld', 'werk', 'lachen', 'farbenfabrik', 'filmfabrik', 'kombinat', 'chemiekombinat', 'parteischule', 'sowjetisch', 'tag', 'sandersdorf', 'betrieb', 'meister', 'mensch', 'geschichte', 'wolfen', 'sogenannter', 'wolf', 'drüben', 'garnicht', 'partei', 'tätigkeit', 'gespräch', 'ckb', 'berufsausbildung', 'werktätig', 'labor', 'funktionär', 'jut', 'mutti', 'jawoll', 'freilich', 'horch', 'zentral', 'dessau', 'gerhard', 'parteileitung', 'elektrochemisch', 'unmittelbar', 'schulung', 'schildern', 'farbe', 'rudolf', 'aufbau', 'buna', 'halle', 'zwillingsbruder', 'kraftwerk', 'generaldirektion', 'merker']

25 ['filmfabrik', 'grunde', 'lachen', 'brigadier', 'eko', 'meister', 'hintergrund', 'brigade', 'werk', 'freilich', 'abteilungsleiter', 'schicht', 'generaldirektor', 'halle', 'drinnen', 'ho', 'hennlein', 'genosse', 'wolf', 'pfeffer', 'henry', 'menge', 'unheimlich', 'verwaltungsschule', 'hintergrundgeräusch', 'sedgenosse', 'lohngruppe', 'betrieb', 'kww', 'aktivist', 'überlegen', 'eisenhüttenstadt', 'genossin', 'spätschicht', 'sozialpolitisch', 'wolfen', 'schluss', 'hochöfner', 'rechnen', 'siebzehnt', 'strukturveränderung', 'heim', 'kaltwalzwerk', 'haushaltstag', 'fh', 'agitpropgruppe', 'hochofen', 'dänemark', 'räumer', 'ähä']

26 ['essen', 'kochen', 'kartoffel', 'küche', 'gegessen', 'suppe', 'tisch', 'fleisch', 'mittagessen', 'teller', 'abends', 'tag', 'schmecken', 'löffel', 'koch', 'topf', 'kantine', 'schüssel', 'kessel', 'aßen', 'frühstück', 'brot', 'mittag', 'mittags', 'hunger', 'geschirr', 'schlecht', 'wasser', 'gemüse', 'aß', 'eier', 'satt', 'fett', 'warm', 'lebensmittel', 'decken', 'milch', 'woche', 'spät', 'kennen', 'schale', 'morgens', 'issen', 'lecker', 'abendessen', 'fisch', 'speck', 'gabel', 'richtig', 'extra']

